CALMONTHIC;CALMONTHI;CALMONTH;CALMONTHS;START_DATE_IDX;END_DATE_IDX;ISEOM;ISEOQ;ISEOY;DAYSINMONTH;START_DATE;END_DATE;USER;LOCATION;HC;HC_SOM;HC_EOM;DAYSWORKED;FTE;FTE_SOM;FTE_EOM;FTEWORKED;TENURE;TENURE_SOM;TENURE_EOM;AGE;AGE_SOM;AGE_EOM;X
241;202001;202001;202001;43837;43861;1.0;0.0;0.0;31;2020-01-07;2020-01-31;"P1"   ;"Chicago"             ;0.0;0.0;0.0; 0;0.0;0.0;0.0;   0;0;0;0;0;0;0;stEOM
242;202002;202002;202002;43862;43890;1.0;0.0;0.0;29;2020-02-01;2020-02-29;"P1"   ;"Chicago"             ;0.0;0.0;0.0; 0;0.0;0.0;0.0;   0;0;0;0;0;0;0;stEOM
243;202003;202003;202003;43895;43921;1.0;1.0;0.0;31;2020-03-05;2020-03-31;"P1"   ;"Chicago"             ;1.0;0.0;1.0; 0;1.0;0.0;1.0;   0;0;0;0;29;29;29;stEOM
244;202004;202004;202004;43922;43951;1.0;0.0;0.0;30;2020-04-01;2020-04-30;"P1"   ;"Chicago"             ;1.0;1.0;1.0;30;1.0;1.0;1.0;  30;1;0;1;29;29;29;stEOM
245;202005;202005;202005;43952;43952;0.0;0.0;0.0;31;2020-05-01;2020-05-01;"P1"   ;"Chicago"             ;1.0;0.0;0.0; 1;1.0;0.0;0.0;   1;1;0;0;29;0;0;perclose-1 from 2020-05-02 LC
245;202005;202005;202005;43953;43982;1.0;0.0;0.0;31;2020-05-02;2020-05-31;"P1"   ;"NewYork"             ;1.0;1.0;1.0;30;0.5;1.0;0.5;  30;2;1;2;29;29;29;stEOM
246;202006;202006;202006;43983;44012;1.0;1.0;0.0;30;2020-06-01;2020-06-30;"P1"   ;"NewYork"             ;1.0;1.0;1.0;30;0.5;0.5;0.5;  15;3;2;3;29;29;29;stEOM
247;202007;202007;202007;44013;44043;1.0;0.0;0.0;31;2020-07-01;2020-07-31;"P1"   ;"NewYork"             ;1.0;1.0;1.0;31;0.5;0.5;0.5;15.5;4;3;4;30;29;30;stEOM
248;202008;202008;202008;44044;44067;0.0;0.0;0.0;31;2020-08-01;2020-08-24;"P1"   ;"NewYork"             ;1.0;0.0;0.0;24;0.5;0.0;0.0;  12;5;0;0;30;0;0;termclose-12020-08-25 HC
248;202008;202008;202008;44068;44074;1.0;0.0;0.0;31;2020-08-25;2020-08-31;"P1"   ;"Frankfurt"           ;0.0;1.0;0.0; 0;0.0;0.5;0.0;   0;0;0;0;0;0;0;stEOM
